ERROR: Unable to locate a modulefile for 'eb'
learning_rate : 0.0001
max_steps : 5000
batch_size : 32
eval_freq : 500
data_dir : ./cifar10/cifar-10-batches-py
epoch 1 avg accuracy on training data: 0.10290706973768395
epoch 2 avg accuracy on training data: 0.09997199103713188
epoch 3 avg accuracy on training data: 0.10003201024327785
epoch 4 avg accuracy on training data: 0.09997199103713188
epoch 5 avg accuracy on training data: 0.10003201024327785
epoch 6 avg accuracy on training data: 0.10009202944942382
epoch 7 avg accuracy on training data: 0.09997199103713188
epoch 8 avg accuracy on training data: 0.1000120038412292
epoch 9 avg accuracy on training data: 0.10005201664532651
epoch 10 avg accuracy on training data: 0.10003201024327785
epoch 11 avg accuracy on training data: 0.09999199743918054
epoch 12 avg accuracy on training data: 0.1000120038412292
epoch 13 avg accuracy on training data: 0.09999199743918054
epoch 14 avg accuracy on training data: 0.10003201024327785
epoch 15 avg accuracy on training data: 0.09991197183098592
epoch 16 avg accuracy on training data: 0.10003201024327785
epoch 17 avg accuracy on training data: 0.09997199103713188
epoch 18 avg accuracy on training data: 0.10005201664532651
epoch 19 avg accuracy on training data: 0.09991197183098592
epoch 20 avg accuracy on training data: 0.1000120038412292
epoch 21 avg accuracy on training data: 0.10005201664532651
epoch 22 avg accuracy on training data: 0.09997199103713188
epoch 23 avg accuracy on training data: 0.10003201024327785
epoch 24 avg accuracy on training data: 0.09999199743918054
epoch 25 avg accuracy on training data: 0.09991197183098592
epoch 26 avg accuracy on training data: 0.10007202304737516
epoch 27 avg accuracy on training data: 0.09997199103713188
epoch 28 avg accuracy on training data: 0.09995198463508323
epoch 29 avg accuracy on training data: 0.1000120038412292
epoch 30 avg accuracy on training data: 0.09997199103713188
epoch 31 avg accuracy on training data: 0.09995198463508323
epoch 32 avg accuracy on training data: 0.10015204865556979
epoch 33 avg accuracy on training data: 0.0998719590268886
epoch 34 avg accuracy on training data: 0.10007202304737516
epoch 35 avg accuracy on training data: 0.1000120038412292
epoch 36 avg accuracy on training data: 0.09995198463508323
epoch 37 avg accuracy on training data: 0.10003201024327785
epoch 38 avg accuracy on training data: 0.09995198463508323
epoch 39 avg accuracy on training data: 0.09999199743918054
epoch 40 avg accuracy on training data: 0.09999199743918054
epoch 41 avg accuracy on training data: 0.10005201664532651
epoch 42 avg accuracy on training data: 0.10005201664532651
epoch 43 avg accuracy on training data: 0.09991197183098592
epoch 44 avg accuracy on training data: 0.10013204225352113
epoch 45 avg accuracy on training data: 0.09993197823303457
epoch 46 avg accuracy on training data: 0.09999199743918054
epoch 47 avg accuracy on training data: 0.10007202304737516
epoch 48 avg accuracy on training data: 0.10003201024327785
epoch 49 avg accuracy on training data: 0.09999199743918054
epoch 50 avg accuracy on training data: 0.09997199103713188
epoch 51 avg accuracy on training data: 0.10003201024327785
epoch 52 avg accuracy on training data: 0.09999199743918054
epoch 53 avg accuracy on training data: 0.09995198463508323
epoch 54 avg accuracy on training data: 0.09999199743918054
epoch 55 avg accuracy on training data: 0.10007202304737516
epoch 56 avg accuracy on training data: 0.09997199103713188
epoch 57 avg accuracy on training data: 0.10003201024327785
epoch 58 avg accuracy on training data: 0.09997199103713188
epoch 59 avg accuracy on training data: 0.1000120038412292
epoch 60 avg accuracy on training data: 0.09999199743918054
epoch 61 avg accuracy on training data: 0.10003201024327785
epoch 62 avg accuracy on training data: 0.10003201024327785
epoch 63 avg accuracy on training data: 0.09997199103713188
epoch 64 avg accuracy on training data: 0.09999199743918054
epoch 65 avg accuracy on training data: 0.09999199743918054
epoch 66 avg accuracy on training data: 0.09999199743918054
epoch 67 avg accuracy on training data: 0.09995198463508323
epoch 68 avg accuracy on training data: 0.10005201664532651
epoch 69 avg accuracy on training data: 0.09997199103713188
epoch 70 avg accuracy on training data: 0.10003201024327785
epoch 71 avg accuracy on training data: 0.1000120038412292
epoch 72 avg accuracy on training data: 0.09993197823303457
epoch 73 avg accuracy on training data: 0.10003201024327785
epoch 74 avg accuracy on training data: 0.09997199103713188
epoch 75 avg accuracy on training data: 0.1000120038412292
epoch 76 avg accuracy on training data: 0.10003201024327785
epoch 77 avg accuracy on training data: 0.10005201664532651
epoch 78 avg accuracy on training data: 0.09997199103713188
epoch 79 avg accuracy on training data: 0.09997199103713188
epoch 80 avg accuracy on training data: 0.10009202944942382
epoch 81 avg accuracy on training data: 0.09991197183098592
epoch 82 avg accuracy on training data: 0.10003201024327785
epoch 83 avg accuracy on training data: 0.10007202304737516
epoch 84 avg accuracy on training data: 0.09991197183098592
epoch 85 avg accuracy on training data: 0.10005201664532651
epoch 86 avg accuracy on training data: 0.09997199103713188
epoch 87 avg accuracy on training data: 0.09999199743918054
epoch 88 avg accuracy on training data: 0.1000120038412292
epoch 89 avg accuracy on training data: 0.10003201024327785
epoch 90 avg accuracy on training data: 0.10005201664532651
epoch 91 avg accuracy on training data: 0.09995198463508323
epoch 92 avg accuracy on training data: 0.10005201664532651
epoch 93 avg accuracy on training data: 0.09989196542893726
epoch 94 avg accuracy on training data: 0.10009202944942382
epoch 95 avg accuracy on training data: 0.10009202944942382
epoch 96 avg accuracy on training data: 0.1000120038412292
epoch 97 avg accuracy on training data: 0.09989196542893726
epoch 98 avg accuracy on training data: 0.09999199743918054
epoch 99 avg accuracy on training data: 0.10009202944942382
epoch 100 avg accuracy on training data: 0.09993197823303457
epoch 101 avg accuracy on training data: 0.10003201024327785
epoch 102 avg accuracy on training data: 0.09999199743918054
epoch 103 avg accuracy on training data: 0.09995198463508323
epoch 104 avg accuracy on training data: 0.10003201024327785
epoch 105 avg accuracy on training data: 0.09997199103713188
epoch 106 avg accuracy on training data: 0.09991197183098592
epoch 107 avg accuracy on training data: 0.10003201024327785
epoch 108 avg accuracy on training data: 0.09991197183098592
epoch 109 avg accuracy on training data: 0.1000120038412292
epoch 110 avg accuracy on training data: 0.10007202304737516
epoch 111 avg accuracy on training data: 0.09997199103713188
epoch 112 avg accuracy on training data: 0.09997199103713188
epoch 113 avg accuracy on training data: 0.10009202944942382
epoch 114 avg accuracy on training data: 0.10003201024327785
epoch 115 avg accuracy on training data: 0.1000120038412292
epoch 116 avg accuracy on training data: 0.09997199103713188
epoch 117 avg accuracy on training data: 0.09993197823303457
epoch 118 avg accuracy on training data: 0.1000120038412292
epoch 119 avg accuracy on training data: 0.10005201664532651
epoch 120 avg accuracy on training data: 0.09999199743918054
epoch 121 avg accuracy on training data: 0.09997199103713188
epoch 122 avg accuracy on training data: 0.1000120038412292
epoch 123 avg accuracy on training data: 0.10007202304737516
epoch 124 avg accuracy on training data: 0.09995198463508323
epoch 125 avg accuracy on training data: 0.09997199103713188
epoch 126 avg accuracy on training data: 0.09999199743918054
epoch 127 avg accuracy on training data: 0.10011203585147248
epoch 128 avg accuracy on training data: 0.09997199103713188
epoch 129 avg accuracy on training data: 0.09991197183098592
epoch 130 avg accuracy on training data: 0.09997199103713188
epoch 131 avg accuracy on training data: 0.10005201664532651
epoch 132 avg accuracy on training data: 0.09997199103713188
epoch 133 avg accuracy on training data: 0.10003201024327785
epoch 134 avg accuracy on training data: 0.09999199743918054
epoch 135 avg accuracy on training data: 0.10005201664532651
epoch 136 avg accuracy on training data: 0.10005201664532651
epoch 137 avg accuracy on training data: 0.09995198463508323
epoch 138 avg accuracy on training data: 0.09997199103713188
epoch 139 avg accuracy on training data: 0.1000120038412292
epoch 140 avg accuracy on training data: 0.09995198463508323
epoch 141 avg accuracy on training data: 0.10003201024327785
epoch 142 avg accuracy on training data: 0.10005201664532651
epoch 143 avg accuracy on training data: 0.09999199743918054
epoch 144 avg accuracy on training data: 0.09997199103713188
epoch 145 avg accuracy on training data: 0.10003201024327785
epoch 146 avg accuracy on training data: 0.10003201024327785
epoch 147 avg accuracy on training data: 0.1000120038412292
epoch 148 avg accuracy on training data: 0.09995198463508323
epoch 149 avg accuracy on training data: 0.09999199743918054
epoch 150 avg accuracy on training data: 0.10007202304737516
epoch 151 avg accuracy on training data: 0.10005201664532651
epoch 152 avg accuracy on training data: 0.1000120038412292
epoch 153 avg accuracy on training data: 0.09995198463508323
epoch 154 avg accuracy on training data: 0.10003201024327785
epoch 155 avg accuracy on training data: 0.09989196542893726
epoch 156 avg accuracy on training data: 0.10013204225352113
epoch 157 avg accuracy on training data: 0.09995198463508323
epoch 158 avg accuracy on training data: 0.09997199103713188
epoch 159 avg accuracy on training data: 0.09993197823303457
epoch 160 avg accuracy on training data: 0.09997199103713188
epoch 161 avg accuracy on training data: 0.09997199103713188
epoch 162 avg accuracy on training data: 0.10003201024327785
epoch 163 avg accuracy on training data: 0.09997199103713188
epoch 164 avg accuracy on training data: 0.10003201024327785
epoch 165 avg accuracy on training data: 0.10009202944942382
epoch 166 avg accuracy on training data: 0.09993197823303457
epoch 167 avg accuracy on training data: 0.10011203585147248
epoch 168 avg accuracy on training data: 0.09983194622279129
epoch 169 avg accuracy on training data: 0.1000120038412292
epoch 170 avg accuracy on training data: 0.10003201024327785
epoch 171 avg accuracy on training data: 0.09999199743918054
epoch 172 avg accuracy on training data: 0.1000120038412292
epoch 173 avg accuracy on training data: 0.09999199743918054
epoch 174 avg accuracy on training data: 0.09999199743918054
epoch 175 avg accuracy on training data: 0.1000120038412292
epoch 176 avg accuracy on training data: 0.09997199103713188
epoch 177 avg accuracy on training data: 0.09997199103713188
epoch 178 avg accuracy on training data: 0.09999199743918054
epoch 179 avg accuracy on training data: 0.1000120038412292
epoch 180 avg accuracy on training data: 0.09995198463508323
epoch 181 avg accuracy on training data: 0.09997199103713188
epoch 182 avg accuracy on training data: 0.10005201664532651
epoch 183 avg accuracy on training data: 0.1000120038412292
epoch 184 avg accuracy on training data: 0.09999199743918054
epoch 185 avg accuracy on training data: 0.1000120038412292
epoch 186 avg accuracy on training data: 0.09997199103713188
epoch 187 avg accuracy on training data: 0.09999199743918054
epoch 188 avg accuracy on training data: 0.09999199743918054
epoch 189 avg accuracy on training data: 0.09999199743918054
epoch 190 avg accuracy on training data: 0.10003201024327785
epoch 191 avg accuracy on training data: 0.09995198463508323
